Month;Monthly precipitation (mm), Philadelphia, 1850-1950
1850-01;121.2
1850-02;72.9
1850-03;120.7
1850-04;67.8
1850-05;165.1
1850-06;51.6
1850-07;151.6
1850-08;211.6
1850-09;196.3
1850-10;77.6
1850-11;84.3
1850-12;114.8
1851-01;31.2
1851-02;79.0
1851-03;88.1
1851-04;115.8
1851-05;122.4
1851-06;87.4
1851-07;64.0
1851-08;65.0
1851-09;69.9
1851-10;77.0
1851-11;85.1
1851-12;57.9
1852-01;51.1
1852-02;68.8
1852-03;108.5
1852-04;163.8
1852-05;77.0
1852-06;102.4
1852-07;103.1
1852-08;111.8
1852-09;32.8
1852-10;57.7
1852-11;153.9
1852-12;131.3
1853-01;47.0
1853-02;112.8
1853-03;62.5
1853-04;97.5
1853-05;131.3
1853-06;150.5
1853-07;160.0
1853-08;78.5
1853-09;113.3
1853-10;88.1
1853-11;58.9
1853-12;55.1
1854-01;59.2
1854-02;106.9
1854-03;41.1
1854-04;196.9
1854-05;176.3
1854-06;60.7
1854-07;76.7
1854-08;80.0
1854-09;96.5
1854-10;39.4
1854-11;71.9
1854-12;73.9
1855-01;59.4
1855-02;59.7
1855-03;42.7
1855-04;52.1
1855-05;75.2
1855-06;201.9
1855-07;162.6
1855-08;70.9
1855-09;101.6
1855-10;104.4
1855-11;51.8
1855-12;137.9
1856-01;115.3
1856-02;70.6
1856-03;56.6
1856-04;89.4
1856-05;66.0
1856-06;50.5
1856-07;38.4
1856-08;152.4
1856-09;101.9
1856-10;33.0
1856-11;52.6
1856-12;74.7
1857-01;89.7
1857-02;70.9
1857-03;46.5
1857-04;172.2
1857-05;141.0
1857-06;190.5
1857-07;99.6
1857-08;192.8
1857-09;70.8
1857-10;68.3
1857-11;36.8
1857-12;141.0
1858-01;65.8
1858-02;58.2
1858-03;90.3
1858-04;117.9
1858-05;127.5
1858-06;114.0
1858-07;34.3
1858-08;125.5
1858-09;37.8
1858-10;46.7
1858-11;142.5
1858-12;114.3
1859-01;169.7
1859-02;93.0
1859-03;177.3
1859-04;142.5
1859-05;57.2
1859-06;152.7
1859-07;103.4
1859-08;120.1
1859-09;195.1
1859-10;79.5
1859-11;97.0
1859-12;88.6
1860-01;82.0
1860-02;70.1
1860-03;36.1
1860-04;96.5
1860-05;97.0
1860-06;73.2
1860-07;100.4
1860-08;214.9
1860-09;72.4
1860-10;114.8
1860-11;155.7
1860-12;84.1
1861-01;133.4
1861-02;52.6
1861-03;99.6
1861-04;94.2
1861-05;168.7
1861-06;98.6
1861-07;65.0
1861-08;79.8
1861-09;111.8
1861-10;96.5
1861-11;123.7
1861-12;53.1
1862-01;121.7
1862-02;117.9
1862-03;90.2
1862-04;105.7
1862-05;58.7
1862-06;177.0
1862-07;62.7
1862-08;74.2
1862-09;101.1
1862-10;121.2
1862-11;121.7
1862-12;41.9
1863-01;119.9
1863-02;118.9
1863-03;149.6
1863-04;178.3
1863-05;114.6
1863-06;108.0
1863-07;152.7
1863-08;36.8
1863-09;57.9
1863-10;62.5
1863-11;68.6
1863-12;117.6
1864-01;43.4
1864-02;14.0
1864-03;131.3
1864-04;96.5
1864-05;220.5
1864-06;59.7
1864-07;95.8
1864-08;48.8
1864-09;181.9
1864-10;46.2
1864-11;99.8
1864-12;130.8
1865-01;91.7
1865-02;148.1
1865-03;119.6
1865-04;71.9
1865-05;183.1
1865-06;120.7
1865-07;75.4
1865-08;95.8
1865-09;202.2
1865-10;77.5
1865-11;100.6
1865-12;142.5
1866-01;80.0
1866-02;167.9
1866-03;54.6
1866-04;74.4
1866-05;118.9
1866-06;75.2
1866-07;64.0
1866-08;55.4
1866-09;221.2
1866-10;105.4
1866-11;44.7
1866-12;88.1
1867-01;44.7
1867-02;98.8
1867-03;138.9
1867-04;46.0
1867-05;185.9
1867-06;280.2
1867-07;60.7
1867-08;401.8
1867-09;43.7
1867-10;109.7
1867-11;74.7
1867-12;69.3
1868-01;91.9
1868-02;64.0
1868-03;85.3
1868-04;138.2
1868-05;178.1
1868-06;111.0
1868-07;89.2
1868-08;52.3
1868-09;226.3
1868-10;44.2
1868-11;134.1
1868-12;91.4
1869-01;108.7
1869-02;120.9
1869-03;134.9
1869-04;53.8
1869-05;107.7
1869-06;141.7
1869-07;73.4
1869-08;32.5
1869-09;82.6
1869-10;160.5
1869-11;94.7
1869-12;130.0
1870-01;103.6
1870-02;64.3
1870-03;103.1
1870-04;142.5
1870-05;159.5
1870-06;73.7
1870-07;100.3
1870-08;130.0
1870-09;43.4
1870-10;98.8
1870-11;53.3
1870-12;48.0
1871-01;88.1
1871-02;78.5
1871-03;147.6
1871-04;46.5
1871-05;85.9
1871-06;96.0
1871-07;173.0
1871-08;151.6
1871-09;45.0
